category,city,country_region,customer_id,customer_name,order_date,order_id,postal_code,product_id,product_name,region,row_id,segment,ship_date,ship_mode,ship_status,state,sub_category,days_to_ship_actual,days_to_ship_scheduled,discount,profit,quantity,sales,sales_forecast
Office Supplies,Temecula,United States,RD-19585,Rob Dowd,2019-12-13,CA-2019-157770,92592,OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",West,3289,Consumer,2019-12-15,First Class,Shipped Late,California,Binders,2,1,0.2,10,5,29,30
Office Supplies,Seattle,United States,AC-10450,Amy Cox,2020-11-24,CA-2020-163573,98105,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,West,4116,Consumer,2020-11-27,First Class,Shipped Late,Washington,Binders,3,1,0.2,381,5,1220,1263
Office Supplies,Seattle,United States,DN-13690,Duane Noonan,2020-04-21,CA-2020-151498,98115,OFF-BI-10004967,Round Ring Binders,West,7986,Consumer,2020-04-24,First Class,Shipped Late,Washington,Binders,3,1,0.2,3,5,8,9
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,2018-01-19,CA-2018-146591,85254,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,5465,Consumer,2018-01-20,First Class,Shipped On Time,Arizona,Envelopes,1,1,0.2,37,5,109,113
Office Supplies,Tucson,United States,CT-11995,Carol Triggs,2018-12-20,CA-2018-138681,85705,OFF-PA-10000357,Xerox 1888,West,4693,Consumer,2018-12-22,First Class,Shipped Late,Arizona,Paper,2,1,0.2,78,5,222,230
Office Supplies,San Francisco,United States,ND-18370,Natalie DeCherney,2021-03-19,CA-2021-105410,94110,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",West,4343,Consumer,2021-03-22,First Class,Shipped Late,California,Binders,3,1,0.2,7,6,20,21
Office Supplies,San Francisco,United States,RD-19720,Roger Demir,2018-07-20,CA-2018-157546,94122,OFF-BI-10002498,Clear Mylar Reinforcing Strips,West,7229,Consumer,2018-07-22,First Class,Shipped Late,California,Binders,2,1,0.2,30,6,90,93
Office Supplies,Santa Clara,United States,CK-12205,Chloris Kastensmidt,2020-06-05,CA-2020-110982,95051,OFF-BI-10000829,Avery Non-Stick Binders,West,5523,Consumer,2020-06-07,First Class,Shipped Late,California,Binders,2,1,0.2,7,6,22,22
Office Supplies,Oakland,United States,PR-18880,Patrick Ryan,2021-08-21,US-2021-109253,94601,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",West,3339,Consumer,2021-08-22,First Class,Shipped On Time,California,Binders,1,1,0.2,42,9,117,121
Office Supplies,Louisville,United States,LH-17020,Lisa Hazard,2021-05-05,CA-2021-105991,80027,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",West,5286,Consumer,2021-05-06,First Class,Shipped On Time,Colorado,Envelopes,1,1,0.2,7,9,21,22
Office Supplies,San Jose,United States,NS-18505,Neola Schneider,2021-10-01,CA-2021-129378,95123,OFF-BI-10001922,Storex Dura Pro Binders,West,2215,Consumer,2021-10-02,First Class,Shipped On Time,California,Binders,1,1,0.2,21,13,62,64
Office Supplies,Phoenix,United States,TS-21085,Thais Sissman,2019-07-19,US-2019-160150,85023,OFF-BI-10004352,Wilson Jones DublLock D-Ring Binders,West,1451,Consumer,2019-07-20,First Class,Shipped On Time,Arizona,Binders,1,1,0.7,-1,1,2,2
Office Supplies,Scottsdale,United States,MT-17815,Meg Tillman,2019-11-06,CA-2019-105312,85254,OFF-BI-10002049,UniKeep View Case Binders,West,1008,Consumer,2019-11-09,First Class,Shipped Late,Arizona,Binders,3,1,0.7,-4,3,4,5
Office Supplies,Phoenix,United States,LP-17095,Liz Preis,2020-10-02,CA-2020-118969,85023,OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",West,4513,Consumer,2020-10-03,First Class,Shipped On Time,Arizona,Binders,1,1,0.7,-40,6,55,57
Office Supplies,Portland,United States,NW-18400,Natalie Webber,2020-11-03,CA-2020-159023,97206,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,West,8942,Consumer,2020-11-05,First Class,Shipped Late,Oregon,Binders,2,1,0.7,-3,7,4,4
Office Supplies,Louisville,United States,LH-17020,Lisa Hazard,2021-05-05,CA-2021-105991,80027,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",West,5287,Consumer,2021-05-06,First Class,Shipped On Time,Colorado,Binders,1,1,0.7,-7,8,10,10
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,2018-01-19,CA-2018-146591,85254,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,5463,Consumer,2018-01-20,First Class,Shipped On Time,Arizona,Binders,1,1,0.7,-24,10,32,33
Office Supplies,Madison,United States,SS-20590,Sonia Sunley,2020-09-02,CA-2020-116540,53711,OFF-FA-10002676,Colored Push Pins,Central,3416,Consumer,2020-09-02,Same Day,Shipped On Time,Wisconsin,Fasteners,0,0,0,1,1,2,2
Office Supplies,Des Moines,United States,LC-16870,Lena Cacioppo,2020-08-12,CA-2020-167584,50315,OFF-PA-10000029,Xerox 224,Central,1087,Consumer,2020-08-12,Same Day,Shipped On Time,Iowa,Paper,0,0,0,3,1,6,7
Office Supplies,Portage,United States,VM-21835,Vivian Mathis,2018-03-22,US-2018-129609,46368,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Central,4341,Consumer,2018-03-22,Same Day,Shipped On Time,Indiana,Art,0,0,0,7,2,16,17
Office Supplies,Lansing,United States,NC-18340,Nat Carroll,2019-04-04,CA-2019-112452,48911,OFF-BI-10003350,Acco Expandable Hanging Binders,Central,1149,Consumer,2019-04-04,Same Day,Shipped On Time,Michigan,Binders,0,0,0,6,2,13,13
Office Supplies,Rochester,United States,JD-16060,Julia Dunbar,2021-03-05,CA-2021-168123,55901,OFF-BI-10001071,GBC ProClick Punch Binding System,Central,4746,Consumer,2021-03-05,Same Day,Shipped On Time,Minnesota,Binders,0,0,0,63,2,128,132
Office Supplies,Madison,United States,SS-20590,Sonia Sunley,2020-09-02,CA-2020-116540,53711,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",Central,3417,Consumer,2020-09-02,Same Day,Shipped On Time,Wisconsin,Binders,0,0,0,4,2,8,9
Office Supplies,Lansing,United States,NC-18340,Nat Carroll,2019-04-04,CA-2019-112452,48911,OFF-FA-10000735,Staples,Central,1148,Consumer,2019-04-04,Same Day,Shipped On Time,Michigan,Fasteners,0,0,0,3,2,6,6
Office Supplies,Rochester,United States,JD-16060,Julia Dunbar,2021-03-05,CA-2021-168123,55901,OFF-FA-10002763,Advantus Map Pennant Flags and Round Head Tacks,Central,4744,Consumer,2021-03-05,Same Day,Shipped On Time,Minnesota,Fasteners,0,0,0,3,2,8,8
Office Supplies,Milwaukee,United States,PK-19075,Pete Kriz,2021-03-05,CA-2021-147753,53209,OFF-LA-10003537,Avery 515,Central,3813,Consumer,2021-03-05,Same Day,Shipped On Time,Wisconsin,Labels,0,0,0,12,2,25,26
Office Supplies,Rochester,United States,JD-16060,Julia Dunbar,2021-03-05,CA-2021-168123,55901,OFF-BI-10001097,Avery Hole Reinforcements,Central,4747,Consumer,2021-03-05,Same Day,Shipped On Time,Minnesota,Binders,0,0,0,9,3,19,19
Office Supplies,Lawton,United States,BD-11620,Brian DeCherney,2021-10-22,CA-2021-130211,73505,OFF-ST-10000129,Fellowes Recycled Storage Drawers,Central,4478,Consumer,2021-10-22,Same Day,Shipped On Time,Oklahoma,Storage,0,0,0,23,3,333,345
Office Supplies,Detroit,United States,JL-15835,John Lee,2019-12-17,US-2019-138121,48205,OFF-BI-10000320,GBC Plastic Binding Combs,Central,4695,Consumer,2019-12-17,Same Day,Shipped On Time,Michigan,Binders,0,0,0,14,4,30,31
Office Supplies,Rochester,United States,JD-16060,Julia Dunbar,2021-03-05,CA-2021-168123,55901,OFF-ST-10000877,Recycled Steel Personal File for Standard File Folders,Central,4745,Consumer,2021-03-05,Same Day,Shipped On Time,Minnesota,Storage,0,0,0,58,4,221,229
Office Supplies,Tulsa,United States,JH-15910,Jonathan Howell,2020-10-06,US-2020-115952,74133,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Central,6265,Consumer,2020-10-06,Same Day,Shipped On Time,Oklahoma,Binders,0,0,0,14,5,29,30
Office Supplies,Oklahoma City,United States,EC-14050,Erin Creighton,2021-11-07,CA-2021-163188,73120,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,9493,Consumer,2021-11-07,Same Day,Shipped On Time,Oklahoma,Binders,0,0,0,19,9,38,39
Office Supplies,Lansing,United States,NC-18340,Nat Carroll,2019-04-04,CA-2019-112452,48911,OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Central,1147,Consumer,2019-04-04,Same Day,Shipped On Time,Michigan,Appliances,0,0,0.1,107,2,644,667
Office Supplies,Laredo,United States,EB-14170,Evan Bailliet,2020-11-05,CA-2020-143441,78041,OFF-LA-10002312,Avery 490,Central,5699,Consumer,2020-11-05,Same Day,Shipped On Time,Texas,Labels,0,0,0.2,4,1,12,12
Office Supplies,Amarillo,United States,HG-15025,Hunter Glantz,2020-10-01,CA-2020-111794,79109,OFF-PA-10000474,Easy-staple paper,Central,2668,Consumer,2020-10-01,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,10,1,28,29
Office Supplies,Dallas,United States,AZ-10750,Annie Zypern,2018-03-17,CA-2018-158442,75217,OFF-PA-10002195,Xerox 1966,Central,5102,Consumer,2018-03-17,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,2,1,5,5
Office Supplies,Dallas,United States,CG-12520,Claire Gute,2019-10-15,US-2019-123918,75217,OFF-PA-10003001,Xerox 1986,Central,6879,Consumer,2019-10-15,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,2,1,5,6
Office Supplies,Chicago,United States,MH-17455,Mark Hamilton,2021-10-06,CA-2021-146269,60623,OFF-AR-10004790,Staples in misc. colors,Central,9873,Consumer,2021-10-06,Same Day,Shipped On Time,Illinois,Art,0,0,0.2,1,2,19,20
Office Supplies,Dallas,United States,AZ-10750,Annie Zypern,2018-03-17,CA-2018-158442,75217,OFF-AR-10003732,Newell 333,Central,5101,Consumer,2018-03-17,Same Day,Shipped On Time,Texas,Art,0,0,0.2,0,2,4,5
Office Supplies,Aurora,United States,RR-19315,Ralph Ritter,2021-12-11,CA-2021-162565,60505,OFF-PA-10001937,Xerox 21,Central,4358,Consumer,2021-12-11,Same Day,Shipped On Time,Illinois,Paper,0,0,0.2,4,2,10,11
Office Supplies,Bolingbrook,United States,TD-20995,Tamara Dahlen,2019-08-23,CA-2019-114468,60440,OFF-PA-10000809,Xerox 206,Central,3095,Consumer,2019-08-23,Same Day,Shipped On Time,Illinois,Paper,0,0,0.2,4,2,10,11
Office Supplies,Austin,United States,RD-19930,Russell D'Ascenzo,2021-04-10,CA-2021-125115,78745,OFF-PA-10004101,Xerox 1894,Central,3503,Consumer,2021-04-10,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,4,2,10,11
Office Supplies,El Paso,United States,PS-18760,Pamela Stobb,2018-06-15,CA-2018-126963,79907,OFF-PA-10001952,Xerox 1902,Central,6938,Consumer,2018-06-15,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,12,2,37,38
Office Supplies,Fort Worth,United States,MS-17710,Maurice Satty,2020-05-26,CA-2020-119186,76106,OFF-PA-10004621,Xerox 212,Central,1274,Consumer,2020-05-26,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,4,2,10,11
Office Supplies,Houston,United States,HG-14845,Harry Greene,2021-03-20,CA-2021-122763,77041,OFF-PA-10000474,Easy-staple paper,Central,8998,Consumer,2021-03-20,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,19,2,57,59
Office Supplies,Chicago,United States,MH-17455,Mark Hamilton,2021-10-06,CA-2021-146269,60623,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Central,9872,Consumer,2021-10-06,Same Day,Shipped On Time,Illinois,Storage,0,0,0.2,33,2,290,300
Office Supplies,Dallas,United States,AZ-10750,Annie Zypern,2018-03-17,CA-2018-158442,75217,OFF-PA-10002365,Xerox 1967,Central,5103,Consumer,2018-03-17,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,5,3,16,16
Office Supplies,Fort Worth,United States,MS-17710,Maurice Satty,2020-05-26,CA-2020-119186,76106,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,1276,Consumer,2020-05-26,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,5,3,14,15
Office Supplies,Houston,United States,DC-12850,Dan Campbell,2018-07-05,US-2018-160444,77036,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Central,1356,Consumer,2018-07-05,Same Day,Shipped On Time,Texas,Storage,0,0,0.2,-44,3,221,229
Office Supplies,Houston,United States,SC-20800,Stuart Calhoun,2019-12-11,CA-2019-155761,77041,OFF-ST-10000943,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Central,2013,Consumer,2019-12-11,Same Day,Shipped On Time,Texas,Storage,0,0,0.2,5,3,46,48
Office Supplies,San Antonio,United States,RF-19840,Roy Französisch,2018-11-12,CA-2018-151078,78207,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Central,1863,Consumer,2018-11-12,Same Day,Shipped On Time,Texas,Storage,0,0,0.2,5,4,50,51
Office Supplies,Bolingbrook,United States,TD-20995,Tamara Dahlen,2019-08-23,CA-2019-114468,60440,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Central,3094,Consumer,2019-08-23,Same Day,Shipped On Time,Illinois,Supplies,0,0,0.2,3,4,32,33
Office Supplies,Houston,United States,DM-13015,Darrin Martin,2019-07-08,CA-2019-129392,77070,OFF-PA-10004248,Xerox 1990,Central,4192,Consumer,2019-07-08,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,7,5,21,22
Office Supplies,Skokie,United States,DB-13060,Dave Brooks,2021-12-14,CA-2021-107629,60076,OFF-AR-10002987,Prismacolor Color Pencil Set,Central,6716,Consumer,2021-12-14,Same Day,Shipped On Time,Illinois,Art,0,0,0.2,25,6,95,99
Office Supplies,Dallas,United States,RA-19945,Ryan Akin,2021-10-30,CA-2021-152583,75217,OFF-ST-10002214,X-Rack File for Hanging Folders,Central,3440,Consumer,2021-10-30,Same Day,Shipped On Time,Texas,Storage,0,0,0.2,4,6,54,56
Office Supplies,The Colony,United States,MO-17500,Mary O'Rourke,2020-10-04,CA-2020-121601,75056,OFF-EN-10003862,Laser & Ink Jet Business Envelopes,Central,4304,Consumer,2020-10-04,Same Day,Shipped On Time,Texas,Envelopes,0,0,0.2,19,7,60,62
Office Supplies,Houston,United States,HG-14845,Harry Greene,2021-03-20,CA-2021-122763,77041,OFF-PA-10002377,Xerox 1916,Central,8999,Consumer,2021-03-20,Same Day,Shipped On Time,Texas,Paper,0,0,0.2,103,7,274,284
Office Supplies,Bolingbrook,United States,TD-20995,Tamara Dahlen,2019-08-23,CA-2019-114468,60440,OFF-FA-10003021,Staples,Central,3096,Consumer,2019-08-23,Same Day,Shipped On Time,Illinois,Fasteners,0,0,0.2,2,8,12,12
Office Supplies,Houston,United States,DC-12850,Dan Campbell,2018-07-05,US-2018-160444,77036,OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,Central,1357,Consumer,2018-07-05,Same Day,Shipped On Time,Texas,Storage,0,0,0.2,-35,11,281,291
Office Supplies,Houston,United States,MC-18100,Mick Crebagga,2019-08-25,CA-2019-168809,77041,OFF-BI-10000315,Poly Designer Cover & Back,Central,6798,Consumer,2019-08-25,Same Day,Shipped On Time,Texas,Binders,0,0,0.8,-6,1,4,4
Office Supplies,Bolingbrook,United States,TD-20995,Tamara Dahlen,2019-08-23,CA-2019-114468,60440,OFF-AP-10000696,Holmes Odor Grabber,Central,3097,Consumer,2019-08-23,Same Day,Shipped On Time,Illinois,Appliances,0,0,0.8,-14,2,6,6
Office Supplies,Houston,United States,RB-19435,Richard Bierner,2019-07-02,CA-2019-120397,77070,OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Central,2508,Consumer,2019-07-02,Same Day,Shipped On Time,Texas,Appliances,0,0,0.8,-85,4,33,34
Office Supplies,New York City,United States,TB-21625,Trudy Brown,2021-05-25,CA-2021-120168,10009,OFF-FA-10000936,Acco Hot Clips Clips to Go,East,8015,Consumer,2021-05-25,Same Day,Shipped On Time,New York,Fasteners,0,0,0,1,1,3,3
Office Supplies,New York City,United States,AI-10855,Arianne Irving,2021-05-05,CA-2021-107552,10035,OFF-PA-10002947,Xerox 1923,East,6305,Consumer,2021-05-05,Same Day,Shipped On Time,New York,Paper,0,0,0,3,1,7,7
Office Supplies,New York City,United States,DM-13015,Darrin Martin,2018-09-14,CA-2018-160766,10009,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,East,5128,Consumer,2018-09-14,Same Day,Shipped On Time,New York,Appliances,0,0,0,198,2,601,622
Office Supplies,Newark,United States,VM-21835,Vivian Mathis,2020-03-17,CA-2020-115476,19711,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",East,3738,Consumer,2020-03-17,Same Day,Shipped On Time,Delaware,Binders,0,0,0,16,2,33,34
Office Supplies,New York City,United States,SH-20395,Shahid Hopkins,2021-09-10,CA-2021-122280,10024,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",East,3178,Consumer,2021-09-10,Same Day,Shipped On Time,New York,Paper,0,0,0,9,2,19,19
Office Supplies,New York City,United States,MC-17275,Marc Crier,2019-09-07,CA-2019-105599,10011,OFF-ST-10002486,Eldon Shelf Savers Cubes and Bins,East,4108,Consumer,2019-09-07,Same Day,Shipped On Time,New York,Storage,0,0,0,0,2,14,14
Office Supplies,Columbia,United States,GZ-14470,Gary Zandusky,2020-03-17,CA-2020-131737,21044,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,East,4401,Consumer,2020-03-17,Same Day,Shipped On Time,Maryland,Appliances,0,0,0,298,3,902,934
Office Supplies,Milford,United States,BT-11680,Brian Thompson,2020-04-21,CA-2020-146423,6460,OFF-AR-10004817,Colorific Watercolor Pencils,East,9206,Consumer,2020-04-21,Same Day,Shipped On Time,Connecticut,Art,0,0,0,4,3,15,16
Office Supplies,Orange,United States,LT-17110,Liz Thompson,2021-09-14,CA-2021-147725,7050,OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,East,4430,Consumer,2021-09-14,Same Day,Shipped On Time,New Jersey,Art,0,0,0,18,3,71,73
Office Supplies,Fairfield,United States,CC-12220,Chris Cortes,2021-12-10,CA-2021-152695,6824,OFF-EN-10004030,Convenience Packs of Business Envelopes,East,2336,Consumer,2021-12-10,Same Day,Shipped On Time,Connecticut,Envelopes,0,0,0,5,3,11,11
Office Supplies,New York City,United States,LF-17185,Luke Foster,2019-03-05,CA-2019-109512,10011,OFF-EN-10002621,Staple envelope,East,1881,Consumer,2019-03-05,Same Day,Shipped On Time,New York,Envelopes,0,0,0,15,3,29,30
Office Supplies,Freeport,United States,CS-11950,Carlos Soltero,2019-09-25,CA-2019-151869,11520,OFF-PA-10002947,Xerox 1923,East,9269,Consumer,2019-09-25,Same Day,Shipped On Time,New York,Paper,0,0,0,10,3,20,21
Office Supplies,New York City,United States,CB-12415,Christy Brittain,2021-11-16,US-2021-157896,10009,OFF-PA-10004092,Tops Green Bar Computer Printout Paper,East,2139,Consumer,2021-11-16,Same Day,Shipped On Time,New York,Paper,0,0,0,73,3,147,152
Office Supplies,New York City,United States,RH-19495,Rick Hansen,2019-07-31,CA-2019-124891,10024,OFF-PA-10004621,Xerox 212,East,1004,Consumer,2019-07-31,Same Day,Shipped On Time,New York,Paper,0,0,0,9,3,19,20
Office Supplies,New York City,United States,EN-13780,Edward Nazzal,2020-06-04,CA-2020-165848,10035,OFF-PA-10000349,Easy-staple paper,East,2602,Consumer,2020-06-04,Same Day,Shipped On Time,New York,Paper,0,0,0,7,3,15,15
Office Supplies,New York City,United States,CC-12475,Cindy Chapman,2020-05-02,CA-2020-146836,10024,OFF-ST-10001580,Super Decoflex Portable Personal File,East,3237,Consumer,2020-05-02,Same Day,Shipped On Time,New York,Storage,0,0,0,13,3,45,47
Office Supplies,Utica,United States,LS-17245,Lynn Smith,2018-11-26,CA-2018-124730,13501,OFF-LA-10001613,Avery File Folder Labels,East,5820,Consumer,2018-11-26,Same Day,Shipped On Time,New York,Labels,0,0,0,6,4,12,12
Office Supplies,New York City,United States,RH-19495,Rick Hansen,2018-08-23,CA-2018-110639,10009,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,East,2339,Consumer,2018-08-23,Same Day,Shipped On Time,New York,Paper,0,0,0,23,4,46,48
Office Supplies,New York City,United States,RH-19495,Rick Hansen,2018-08-23,CA-2018-110639,10009,OFF-PA-10003936,Xerox 1994,East,2338,Consumer,2018-08-23,Same Day,Shipped On Time,New York,Paper,0,0,0,12,4,26,27
Office Supplies,New York City,United States,LF-17185,Luke Foster,2019-03-05,CA-2019-109512,10011,OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",East,1883,Consumer,2019-03-05,Same Day,Shipped On Time,New York,Storage,0,0,0,68,4,563,583
Office Supplies,Columbia,United States,GZ-14470,Gary Zandusky,2020-03-17,CA-2020-131737,21044,OFF-EN-10003055,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",East,4400,Consumer,2020-03-17,Same Day,Shipped On Time,Maryland,Envelopes,0,0,0,90,5,200,207
Office Supplies,New York City,United States,AG-10390,Allen Goldenen,2018-09-03,CA-2018-125171,10009,OFF-LA-10001175,Avery 514,East,4986,Consumer,2018-09-03,Same Day,Shipped On Time,New York,Labels,0,0,0,7,5,14,15
Office Supplies,Fairfield,United States,CC-12220,Chris Cortes,2021-12-10,CA-2021-152695,6824,OFF-AP-10000026,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,East,2337,Consumer,2021-12-10,Same Day,Shipped On Time,Connecticut,Appliances,0,0,0,124,7,427,442
Office Supplies,New York City,United States,DM-13015,Darrin Martin,2018-09-14,CA-2018-160766,10009,OFF-EN-10001099,Staple envelope,East,5126,Consumer,2018-09-14,Same Day,Shipped On Time,New York,Envelopes,0,0,0,31,7,68,71
Office Supplies,Milford,United States,BT-11680,Brian Thompson,2020-04-21,CA-2020-146423,6460,OFF-PA-10003797,Xerox 209,East,9207,Consumer,2020-04-21,Same Day,Shipped On Time,Connecticut,Paper,0,0,0,25,8,52,54
Office Supplies,Utica,United States,LS-17245,Lynn Smith,2018-11-26,CA-2018-124730,13501,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",East,5819,Consumer,2018-11-26,Same Day,Shipped On Time,New York,Labels,0,0,0,45,9,93,96
Office Supplies,New York City,United States,DM-13015,Darrin Martin,2018-09-14,CA-2018-160766,10009,OFF-PA-10000213,Xerox 198,East,5131,Consumer,2018-09-14,Same Day,Shipped On Time,New York,Paper,0,0,0,21,9,45,46
Office Supplies,Columbus,United States,MB-17305,Maria Bertelson,2019-09-24,CA-2019-113131,43229,OFF-LA-10003510,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",East,9573,Consumer,2019-09-24,Same Day,Shipped On Time,Ohio,Labels,0,0,0.2,8,1,24,25
Office Supplies,Springfield,United States,SW-20245,Scot Wooten,2018-07-20,CA-2018-142965,45503,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,East,4395,Consumer,2018-07-20,Same Day,Shipped On Time,Ohio,Storage,0,0,0.2,-5,1,26,27
Office Supplies,Columbus,United States,DO-13435,Denny Ordway,2018-10-03,CA-2018-108903,43229,OFF-AR-10004010,Hunt Boston Vacuum Mount KS Pencil Sharpener,East,5600,Consumer,2018-10-03,Same Day,Shipped On Time,Ohio,Art,0,0,0.2,4,2,56,58
Office Supplies,Columbus,United States,MB-17305,Maria Bertelson,2019-09-24,CA-2019-113131,43229,OFF-EN-10003068,#6 3/4 Gummed Flap White Envelopes,East,9572,Consumer,2019-09-24,Same Day,Shipped On Time,Ohio,Envelopes,0,0,0.2,6,2,16,16
Office Supplies,Cleveland,United States,CL-12565,Clay Ludtke,2020-05-08,CA-2020-106530,44105,OFF-PA-10002986,Xerox 1898,East,1632,Consumer,2020-05-08,Same Day,Shipped On Time,Ohio,Paper,0,0,0.2,4,2,11,11
Office Supplies,Cleveland,United States,CL-12565,Clay Ludtke,2020-05-08,CA-2020-106530,44105,OFF-PA-10004451,Xerox 222,East,1633,Consumer,2020-05-08,Same Day,Shipped On Time,Ohio,Paper,0,0,0.2,4,2,10,11
Office Supplies,Philadelphia,United States,AS-10240,Alan Shonely,2019-07-26,CA-2019-143700,19140,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",East,9964,Consumer,2019-07-26,Same Day,Shipped On Time,Pennsylvania,Paper,0,0,0.2,4,2,10,11
Office Supplies,Cleveland,United States,CL-12565,Clay Ludtke,2020-05-08,CA-2020-106530,44105,OFF-ST-10000649,Hanging Personal Folder File,East,1634,Consumer,2020-05-08,Same Day,Shipped On Time,Ohio,Storage,0,0,0.2,2,2,25,26
Office Supplies,Columbus,United States,MB-17305,Maria Bertelson,2019-09-24,CA-2019-113131,43229,OFF-ST-10001172,"Tennsco Lockers, Sand",East,9571,Consumer,2019-09-24,Same Day,Shipped On Time,Ohio,Storage,0,0,0.2,2,2,34,35
Office Supplies,Columbus,United States,SP-20920,Susan Pistek,2021-03-16,CA-2021-161172,43229,OFF-ST-10000675,"File Shuttle II and Handi-File, Black",East,8529,Consumer,2021-03-16,Same Day,Shipped On Time,Ohio,Storage,0,0,0.2,3,2,54,56
Office Supplies,Columbus,United States,AR-10510,Andrew Roberts,2018-05-02,CA-2018-115056,43229,OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,East,5825,Consumer,2018-05-02,Same Day,Shipped On Time,Ohio,Appliances,0,0,0.2,2,3,26,27
Office Supplies,New York City,United States,CC-12475,Cindy Chapman,2020-05-02,CA-2020-146836,10024,OFF-BI-10000315,Poly Designer Cover & Back,East,3238,Consumer,2020-05-02,Same Day,Shipped On Time,New York,Binders,0,0,0.2,16,3,46,47
Office Supplies,Utica,United States,LS-17245,Lynn Smith,2018-11-26,CA-2018-124730,13501,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",East,5817,Consumer,2018-11-26,Same Day,Shipped On Time,New York,Binders,0,0,0.2,5,3,13,13
Office Supplies,Philadelphia,United States,CM-12190,Charlotte Melton,2019-11-09,CA-2019-158554,19134,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",East,1564,Consumer,2019-11-09,Same Day,Shipped On Time,Pennsylvania,Paper,0,0,0.2,4,3,11,12
Office Supplies,Cleveland,United States,CL-12565,Clay Ludtke,2020-05-08,CA-2020-106530,44105,OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,East,1631,Consumer,2020-05-08,Same Day,Shipped On Time,Ohio,Storage,0,0,0.2,88,3,1006,1041
